interest_development,interest_mobile,interest_data_science,interest_ai,interest_devops,interest_cybersecurity,interest_erp,recommended_category
0,0,1,1,1,0,0,DEVOPS
0,1,0,0,0,0,0,MOBILE
0,0,0,0,0,1,0,CYBERSECURITY
0,0,0,0,1,1,0,DEVOPS
1,1,0,1,0,0,0,AI
1,0,0,0,0,0,0,DEVELOPMENT
0,0,1,1,0,0,0,DATA_SCIENCE
1,0,0,0,0,1,0,DEVELOPMENT
0,0,0,1,0,0,0,AI
0,0,0,0,0,1,0,CYBERSECURITY
1,0,0,1,0,0,0,DEVELOPMENT
0,1,0,1,0,0,0,CYBERSECURITY
0,1,1,0,0,0,0,MOBILE
0,0,1,0,1,0,0,DEVOPS
0,0,0,1,0,0,0,CYBERSECURITY
0,1,0,0,0,1,1,DEVELOPMENT
0,0,0,1,0,1,0,CYBERSECURITY
0,0,1,1,0,1,0,AI
0,1,0,0,0,0,0,DEVELOPMENT
0,1,0,0,0,0,0,MOBILE
0,0,1,0,0,0,0,DATA_SCIENCE
0,0,0,1,0,0,0,DATA_SCIENCE
0,0,0,0,1,0,0,DEVOPS
1,1,0,0,0,0,0,MOBILE
0,0,0,1,0,1,0,CYBERSECURITY
0,1,0,0,0,0,1,MOBILE
0,0,0,1,0,0,0,AI
1,0,1,0,0,0,1,DEVELOPMENT
0,1,1,0,1,0,0,CYBERSECURITY
1,0,0,0,1,0,0,DEVELOPMENT
0,0,0,0,1,0,0,CYBERSECURITY
1,1,0,0,0,0,0,MOBILE
0,0,0,0,0,0,1,ERP
1,0,1,0,0,0,0,DATA_SCIENCE
0,0,0,1,0,0,0,AI
0,0,1,1,0,0,0,DATA_SCIENCE
0,1,0,0,0,1,0,CYBERSECURITY
0,1,0,0,0,0,1,DEVOPS
0,0,0,0,1,0,0,DEVOPS
0,0,0,1,0,1,0,CYBERSECURITY
0,0,1,0,0,0,0,CYBERSECURITY
0,0,0,0,1,0,1,ERP
0,0,0,0,1,0,0,MOBILE
0,1,0,1,0,0,1,AI
0,0,0,1,0,1,1,AI
0,0,0,1,0,0,0,AI
0,0,0,0,1,0,0,DEVOPS
0,0,1,0,0,0,0,DATA_SCIENCE
0,0,0,1,1,0,0,AI
0,0,0,1,0,0,0,AI
0,0,0,0,0,1,0,CYBERSECURITY
1,0,0,0,0,1,0,DEVOPS
1,0,0,0,1,1,0,CYBERSECURITY
0,0,0,1,1,0,0,AI
1,0,0,0,0,0,0,DEVELOPMENT
1,1,0,0,0,1,0,DEVELOPMENT
0,0,0,0,1,0,0,DEVOPS
0,0,0,1,0,0,0,AI
0,0,0,0,1,0,0,DEVOPS
0,0,0,1,1,0,0,DEVOPS
0,0,0,0,1,0,0,DEVOPS
1,0,1,0,0,0,0,DATA_SCIENCE
0,0,1,0,0,1,0,CYBERSECURITY
0,0,0,0,0,1,0,CYBERSECURITY
0,0,0,1,0,0,0,AI
0,0,0,0,0,0,1,ERP
1,0,0,0,0,0,0,DEVELOPMENT
0,1,0,1,0,0,0,AI
0,0,1,0,0,0,0,DATA_SCIENCE
1,0,0,0,0,0,0,DEVELOPMENT
0,0,0,0,1,1,1,ERP
0,0,0,1,0,0,0,AI
0,0,0,1,0,0,0,AI
0,1,0,0,0,1,1,ERP
1,1,0,0,0,0,0,MOBILE
1,0,0,0,0,0,0,DEVELOPMENT
0,0,0,0,0,0,1,ERP
0,0,0,0,0,0,1,ERP
0,0,0,0,0,1,0,AI
0,1,0,0,1,0,0,DEVELOPMENT
0,0,0,0,1,0,0,DEVOPS
0,0,1,0,0,0,0,DATA_SCIENCE
0,1,0,0,0,0,0,MOBILE
0,0,1,0,1,0,1,DEVOPS
0,0,0,1,1,0,0,DEVOPS
1,0,0,0,0,0,0,DEVELOPMENT
0,1,0,0,0,0,0,MOBILE
1,0,0,0,0,0,0,DEVELOPMENT
0,1,0,0,0,1,0,CYBERSECURITY
0,1,0,0,1,0,0,MOBILE
0,1,0,0,0,0,1,MOBILE
0,0,0,1,0,0,0,AI
0,0,0,0,0,1,0,CYBERSECURITY
0,1,0,0,0,0,0,MOBILE
1,0,0,0,0,0,0,DEVELOPMENT
0,0,0,1,0,0,0,AI
0,0,0,0,1,0,0,DEVOPS
0,0,1,0,0,0,0,AI
0,0,1,0,1,0,0,DEVOPS
0,0,0,0,1,0,0,DEVOPS
0,0,0,1,0,1,0,AI
1,1,1,0,0,0,0,MOBILE
0,0,0,1,0,1,0,AI
0,0,0,0,1,0,1,DEVOPS
1,0,1,0,0,1,0,CYBERSECURITY
0,1,0,0,0,0,0,MOBILE
1,0,0,0,0,0,0,DEVELOPMENT
0,0,0,1,0,1,0,ERP
0,0,0,0,0,0,1,ERP
0,0,0,1,0,0,0,AI
0,0,0,1,0,0,1,AI
1,0,1,0,1,0,0,DEVELOPMENT
0,0,0,0,0,0,1,ERP
0,0,1,0,0,0,0,DATA_SCIENCE
1,0,0,0,0,0,0,DATA_SCIENCE
0,1,1,0,0,0,0,MOBILE
0,0,0,0,1,1,0,DEVOPS
1,0,0,0,0,0,0,DEVELOPMENT
1,0,0,0,0,0,0,DEVELOPMENT
0,0,0,1,0,0,0,AI
1,0,0,0,0,0,0,MOBILE
1,0,1,0,0,0,0,ERP
1,1,1,0,0,0,0,DATA_SCIENCE
0,0,1,1,0,1,0,CYBERSECURITY
1,0,0,0,0,0,0,DEVELOPMENT
0,1,0,0,0,0,0,MOBILE
0,0,0,0,0,0,1,ERP
0,0,0,0,1,0,0,DEVOPS
0,0,0,0,0,1,0,DEVOPS
0,1,0,0,0,0,1,MOBILE
0,0,0,1,0,0,0,AI
0,0,0,0,1,0,0,DEVOPS
0,1,0,0,1,0,1,MOBILE
0,1,0,0,0,0,1,MOBILE
0,0,0,1,0,0,1,AI
0,0,1,0,0,1,0,DATA_SCIENCE
0,0,0,0,0,0,1,DEVOPS
0,0,0,0,1,0,0,DEVOPS
0,1,0,1,1,0,0,DEVOPS
1,0,0,0,0,1,0,CYBERSECURITY
0,1,0,0,0,0,0,MOBILE
0,0,0,0,0,1,0,CYBERSECURITY
0,1,1,0,0,0,0,MOBILE
1,0,0,0,0,0,0,DEVELOPMENT
1,0,0,0,0,0,1,ERP
0,0,1,0,0,0,1,ERP
1,0,0,0,0,1,1,MOBILE
0,1,0,0,0,0,1,ERP
1,0,0,0,0,1,0,CYBERSECURITY
0,0,0,1,0,0,0,AI
0,0,0,0,1,0,1,ERP
0,1,0,1,0,0,1,MOBILE
1,1,1,0,0,0,0,DEVELOPMENT
0,0,0,1,0,1,0,AI
0,0,0,0,0,1,1,DEVOPS
0,0,0,0,0,1,0,CYBERSECURITY
0,0,0,0,1,0,0,DEVOPS
1,1,0,0,0,0,0,MOBILE
0,1,0,0,0,1,0,ERP
0,0,0,1,0,1,0,AI
0,1,0,0,0,0,1,ERP
1,0,0,0,1,0,0,DEVELOPMENT
0,0,0,1,1,1,0,DEVOPS
0,0,0,1,0,1,0,CYBERSECURITY
0,0,0,0,0,0,1,ERP
1,0,0,0,0,0,0,DEVELOPMENT
0,0,1,0,0,0,0,DATA_SCIENCE
0,0,1,1,0,1,0,DATA_SCIENCE
0,0,0,1,1,0,0,DEVOPS
1,0,0,0,0,0,0,MOBILE
1,0,0,0,1,0,0,DEVELOPMENT
1,1,0,0,0,1,0,CYBERSECURITY
1,0,0,0,0,0,0,DEVOPS
0,0,1,0,0,0,1,AI
1,0,0,0,0,0,0,DEVELOPMENT
0,1,1,0,0,0,0,DEVOPS
0,1,0,0,0,1,0,CYBERSECURITY
0,1,0,0,1,0,0,MOBILE
0,0,0,0,1,0,0,DEVOPS
0,1,0,0,0,0,0,MOBILE
0,0,0,0,1,1,0,DEVOPS
0,0,0,0,1,0,1,ERP
0,0,0,0,1,0,0,DEVOPS
0,0,1,0,0,0,0,DATA_SCIENCE
0,0,1,1,0,0,1,DATA_SCIENCE
1,0,0,1,0,0,1,DEVELOPMENT
0,1,0,0,0,0,0,DEVOPS
0,0,0,0,1,1,0,AI
0,0,1,0,1,0,0,DEVOPS
1,0,1,0,0,0,0,DEVOPS
1,0,0,0,0,0,1,DEVELOPMENT
0,0,0,0,0,1,0,CYBERSECURITY
0,1,0,0,0,0,0,MOBILE
0,1,0,1,0,1,0,MOBILE
0,0,1,0,0,0,0,DATA_SCIENCE
0,1,0,0,0,1,0,MOBILE
1,0,0,0,0,0,0,DEVELOPMENT
0,0,0,1,0,0,0,AI
0,1,0,1,0,1,0,AI
1,1,0,0,0,0,0,DEVELOPMENT
0,0,1,0,0,0,0,DATA_SCIENCE
0,0,1,0,0,0,0,DATA_SCIENCE
0,0,0,0,1,0,0,DEVOPS
0,0,1,0,0,1,1,DATA_SCIENCE
1,0,0,0,1,0,0,CYBERSECURITY
0,0,1,0,0,1,0,CYBERSECURITY
0,0,0,0,1,0,1,ERP
1,1,0,0,0,0,0,MOBILE
0,0,0,0,0,1,0,CYBERSECURITY
1,0,0,0,0,0,0,DEVELOPMENT
0,1,0,0,0,0,0,DEVOPS
0,1,0,0,0,0,0,MOBILE
0,0,1,0,0,0,1,DATA_SCIENCE
0,0,1,0,0,0,1,ERP
0,0,0,0,0,1,0,CYBERSECURITY
0,0,0,0,0,1,0,DEVOPS
0,1,0,0,0,0,0,MOBILE
0,0,0,0,1,1,0,DEVOPS
1,0,0,0,1,0,0,DEVOPS
0,0,0,0,0,1,0,DEVOPS
0,0,0,0,0,0,1,ERP
0,0,0,0,0,0,1,ERP
0,0,1,0,0,0,0,DATA_SCIENCE
1,0,0,0,0,0,0,DEVELOPMENT
0,0,0,1,0,0,0,AI
0,0,0,1,0,0,0,AI
0,1,1,0,0,0,0,MOBILE
0,1,0,0,0,0,0,MOBILE
0,1,0,0,0,1,0,CYBERSECURITY
0,0,0,0,0,1,1,CYBERSECURITY
1,0,0,0,0,0,0,AI
0,1,0,1,0,1,0,CYBERSECURITY
0,0,0,0,0,1,0,CYBERSECURITY
0,0,0,0,0,0,1,ERP
0,0,0,0,0,0,1,CYBERSECURITY
0,0,0,1,0,0,0,AI
1,0,0,0,0,0,0,MOBILE
1,0,0,0,0,0,1,ERP
1,0,0,0,0,0,0,DEVELOPMENT
0,0,1,0,0,0,0,ERP
1,0,0,0,0,0,0,MOBILE
0,1,0,0,0,1,0,CYBERSECURITY
0,0,0,0,0,0,1,ERP
0,1,0,0,0,1,0,MOBILE
0,0,1,0,0,0,1,ERP
0,1,0,0,0,0,0,MOBILE
1,0,0,1,0,0,1,ERP
0,0,0,1,0,0,0,AI
0,0,0,1,0,0,0,AI
0,0,1,0,0,1,0,DATA_SCIENCE
0,0,0,0,1,0,0,DEVOPS
1,0,0,0,0,0,0,DEVELOPMENT
0,1,0,0,0,1,0,CYBERSECURITY
1,0,0,1,0,0,1,DEVOPS
0,0,0,0,0,1,0,CYBERSECURITY
1,1,0,0,0,1,0,MOBILE
0,0,0,1,0,1,0,CYBERSECURITY
0,0,1,0,0,1,0,DATA_SCIENCE
1,0,0,1,0,1,0,AI
0,0,0,0,0,1,0,ERP
1,0,1,0,0,0,0,DATA_SCIENCE
0,0,1,0,0,0,0,DATA_SCIENCE
0,0,0,1,0,0,0,AI
1,0,0,0,0,1,1,CYBERSECURITY
1,0,0,0,0,1,0,DEVELOPMENT
0,0,0,1,0,1,1,ERP
0,1,0,0,0,0,0,MOBILE
0,1,0,0,0,0,0,MOBILE
0,1,0,0,0,1,0,MOBILE
0,0,0,0,1,0,0,DATA_SCIENCE
0,0,0,0,0,1,0,CYBERSECURITY
0,0,1,0,0,1,1,DEVOPS
1,0,0,0,0,0,0,DEVELOPMENT
0,0,1,0,0,0,0,DATA_SCIENCE
0,0,0,1,0,0,0,AI
0,1,0,0,0,0,0,MOBILE
0,0,0,0,1,0,0,DEVOPS
0,1,0,0,0,0,0,DEVELOPMENT
0,0,1,0,0,1,0,CYBERSECURITY
1,0,0,1,0,0,0,MOBILE
0,0,1,0,0,0,1,DATA_SCIENCE
0,0,0,0,1,0,0,DEVOPS
0,1,0,1,0,0,0,DEVELOPMENT
0,0,0,1,0,0,0,AI
0,0,0,0,0,1,1,ERP
0,0,1,0,0,0,0,DATA_SCIENCE
1,0,1,1,0,0,0,DATA_SCIENCE
0,0,0,1,0,1,0,AI
1,0,0,1,0,1,0,CYBERSECURITY
0,1,0,0,0,0,1,DEVELOPMENT
1,0,0,0,0,1,1,DEVELOPMENT
0,1,0,0,0,0,0,MOBILE
0,0,0,1,0,0,0,DATA_SCIENCE
0,1,0,0,0,0,1,MOBILE
0,1,0,1,0,0,0,MOBILE
0,0,0,0,1,0,0,DEVOPS
0,0,0,1,0,0,0,AI
1,1,1,0,0,0,0,MOBILE
0,0,1,0,0,0,0,DATA_SCIENCE
0,0,0,0,1,0,1,DEVELOPMENT
1,0,0,0,0,0,0,DATA_SCIENCE
0,1,0,1,0,0,0,AI
0,0,1,0,0,1,0,CYBERSECURITY
0,0,1,1,0,0,0,DATA_SCIENCE
0,0,0,0,0,0,1,DEVOPS
1,0,0,0,0,0,0,DEVELOPMENT
0,0,0,0,0,0,1,DATA_SCIENCE
0,0,0,0,0,1,1,ERP
1,1,1,0,0,0,0,MOBILE
0,1,1,0,1,0,0,DATA_SCIENCE
0,0,0,0,1,0,1,ERP
0,0,0,0,0,1,0,MOBILE
0,0,1,0,0,0,0,DATA_SCIENCE
0,0,0,0,1,1,1,DEVOPS
0,0,1,0,0,0,0,DATA_SCIENCE
0,0,0,1,0,0,0,AI
0,0,0,0,1,0,0,DEVOPS
0,0,0,0,0,1,1,ERP
0,1,0,0,0,0,0,MOBILE
0,1,0,1,0,0,0,AI
0,0,1,0,1,0,0,DEVOPS
0,1,0,0,0,0,0,MOBILE
1,0,0,1,0,0,0,DEVELOPMENT
0,0,0,0,1,0,0,DEVOPS
0,0,0,1,0,1,0,AI
0,1,0,0,1,0,0,DEVOPS
0,0,0,1,0,0,0,AI
1,0,0,1,0,0,0,AI
0,1,1,0,1,0,0,DEVOPS
0,0,0,0,0,0,1,CYBERSECURITY
0,0,0,0,1,1,0,DATA_SCIENCE
1,1,0,0,0,0,1,ERP
0,1,0,0,0,0,0,MOBILE
0,0,1,0,0,0,0,DATA_SCIENCE
0,0,1,0,0,0,0,DATA_SCIENCE
0,0,0,0,0,1,0,CYBERSECURITY
0,0,0,0,0,1,1,ERP
0,0,0,1,0,0,1,DATA_SCIENCE
1,1,0,0,0,0,0,DEVELOPMENT
0,1,0,0,1,0,0,DEVOPS
1,0,0,0,0,0,0,DEVELOPMENT
1,1,0,0,0,0,0,DEVELOPMENT
0,0,0,0,0,1,0,CYBERSECURITY
0,0,0,1,0,0,1,AI
1,0,0,0,0,1,1,CYBERSECURITY
